ir_led	red_led spo2	bpm
13910	14232	62
22386	22427	62
13837	14266	62
13888	14275	62
13834	14165	62
13812	14236	62
13878	14592	62
13785	14321	62
13878	14235	62
13840	14130	62
13824	0	62
13916	14252	62
13809	0	62
54	2103	62
13888	14134	62
13945	14217	62
13817	14158	62
13851	13888	62
13858	14188	62
13903	14266	62
13878	25143	62
21814	14135	62
13898	14177	62
13795	14134	62
13905	14196	62
13957	14288	62
13857	14182	62
13811	14161	62
13833	13832	62
14332	13885	62
14167	13859	62
14134	13817	62
14158	13962	62
14233	13928	62
14278	13900	62
14116	13875	62
13838	14199	62
13840	14224	62
13865	14198	62
13826	14211	62
13878	34103	62
53302	38967	62
13877	13811	62
13886	13833	62
14206	13852	62
14211	13874	62
13912	14298	62
13829	14135	62
13774	14134	62
13943	14195	62
13907	14223	62
13894	14390	62
3639	30518	62
13365	64055	62
13900	14206	62
13878	22326	62
22327	53814	62
8247	45622	62
32310	2359	62
45621	13878	62
7223	33589	62
65079	49718	62
13901	14278	62
13861	14233	62
13806	13943	62
14195	13963	62
13949	13894	62
13843	14243	62
13886	14300	62
13861	14218	62
13830	14233	62
13834	14230	62
13778	14257	62
13859	14107	62
13863	14264	62
13916	14242	62
13846	14134	62
13878	14228	62
13763	14156	62
13936	14181	62
13922	14263	62
13897	14210	62
13858	14210	62
13823	14134	62
15926	29495	62
13849	14228	62
13905	14160	62
13872	13621	62
53815	45366	62
13891	14134	62
10039	47158	62
36407	43061	62
13826	14230	62
13877	49975	62
19510	4407	62
13867	14168	62
13878	13897	62
14134	3126	62
8759	13822	62
13888	14209	62
13917	14192	62
13794	14246	62
13851	14276	62
13936	14246	62
13937	13891	62
13878	36406	62
36405	13804	62
14176	13863	62
14134	1079	62
33845	56631	62
58166	6455	62
13883	14162	62
13840	14257	62
13821	13822	62
14172	13839	62
14211	13832	62
14258	13887	62
14174	13813	62
13929	14254	62
13932	14176	62
13861	14226	62
13867	14272	62
13956	14134	62
10039	13933	62
13888	13789	62
14307	13828	62
14231	13906	62
13622	4151	62
13871	14134	62
13802	14188	62
13821	14279	62
13833	14134	62
13886	14242	62
13878	26935	62
13834	13932	62
