timestamp,  bpm,  average bpm,  red,  ir,  HR,  HRvalid,  SPO2,  SPO2Valid
08:47:27.971, 78.95, 61, 60628, 19019, 187, 0, 94, 1
08:47:28.039, 78.95, 61, 60325, 18918, 187, 0, 94, 1
08:47:28.147, 78.95, 61, 60603, 19151, 187, 0, 94, 1
08:47:28.252, 78.95, 61, 61217, 19389, 187, 0, 94, 1
08:47:28.357, 78.95, 61, 62061, 19701, 187, 0, 94, 1
08:47:28.427, 78.95, 61, 62621, 19954, 187, 0, 94, 1
08:47:28.567, 78.95, 61, 62265, 19249, 187, 0, 94, 1
08:47:28.641, 78.95, 61, 60633, 19095, 187, 0, 94, 1
08:47:28.748, 78.95, 61, 61289, 19343, 187, 0, 94, 1
08:47:28.822, 78.95, 61, 61292, 19175, 187, 0, 94, 1
08:47:28.965, 78.95, 61, 60746, 19101, 187, 0, 94, 1
08:47:29.035, 78.95, 61, 61103, 19233, 187, 0, 94, 1
08:47:29.176, 78.95, 61, 61615, 19376, 187, 0, 94, 1
08:47:29.251, 78.95, 61, 61812, 19428, 187, 0, 94, 1
08:47:29.358, 78.95, 61, 62076, 19103, 187, 0, 94, 1
08:47:29.430, 78.95, 61, 59842, 18276, 187, 0, 94, 1
08:47:29.542, 78.95, 61, 59243, 18393, 187, 0, 94, 1
08:47:29.650, 88.11, 66, 59605, 18427, 187, 0, 94, 1
08:47:29.760, 88.11, 66, 59173, 18278, 187, 0, 94, 1
08:47:29.831, 88.11, 66, 59513, 18508, 187, 0, 94, 1
08:47:29.975, 88.11, 66, 60405, 18808, 187, 0, 94, 1
08:47:30.047, 88.11, 66, 60811, 18913, 187, 0, 94, 1
08:47:30.155, 88.11, 66, 61115, 18922, 187, 0, 94, 1
08:47:30.222, 88.11, 66, 59853, 17942, 187, 0, 94, 1
08:47:30.367, 88.11, 66, 58026, 17830, 187, 0, 94, 1
08:47:30.442, 88.11, 66, 58572, 17999, 187, 0, 94, 1
08:47:30.550, 88.11, 66, 58508, 17836, 187, 0, 94, 1
08:47:30.622, 88.11, 66, 58561, 18026, 187, 0, 94, 1
08:47:30.766, 88.11, 66, 59674, 18458, 187, 0, 94, 1
08:47:30.840, 88.11, 66, 60221, 18611, 187, 0, 94, 1
08:47:30.944, 88.11, 66, 60586, 18759, 187, 0, 94, 1
08:47:31.050, 88.11, 66, 60415, 18108, 187, 0, 94, 1
08:47:31.156, 88.11, 66, 57819, 17668, 187, 0, 94, 1
08:47:31.229, 88.11, 66, 58487, 17940, 187, 0, 94, 1
08:47:31.372, 88.11, 66, 58877, 17894, 187, 0, 94, 1
08:47:31.445, 88.11, 66, 58703, 18002, 187, 0, 94, 1
08:47:31.550, 88.11, 66, 59678, 18417, 187, 0, 94, 1
08:47:31.624, 88.11, 66, 60328, 18626, 187, 0, 94, 1
08:47:31.761, 88.11, 66, 60838, 18805, 187, 0, 94, 1
08:47:31.831, 88.11, 66, 61232, 18752, 187, 0, 94, 1
08:47:31.977, 88.11, 66, 58798, 17812, 187, 0, 94, 1
08:47:32.050, 62.5, 65, 58979, 18084, 187, 0, 94, 1
08:47:32.163, 62.5, 65, 59739, 18204, 187, 0, 94, 1
08:47:32.239, 62.5, 65, 59409, 18126, 187, 0, 94, 1
08:47:32.347, 62.5, 65, 59971, 18487, 187, 0, 94, 1
08:47:32.454, 62.5, 65, 60662, 18729, 187, 0, 94, 1
08:47:32.559, 62.5, 65, 61070, 18816, 187, 0, 94, 1
08:47:32.629, 62.5, 65, 61043, 18372, 187, 0, 94, 1
08:47:32.773, 62.5, 65, 58683, 17833, 187, 0, 94, 1
08:47:32.844, 62.5, 65, 59067, 18004, 187, 0, 94, 1
08:47:32.949, 62.5, 65, 59421, 17989, 136, 0, 100, 1
08:47:33.022, 62.5, 65, 59278, 18072, 136, 0, 100, 1
08:47:33.165, 62.5, 65, 60067, 18431, 136, 0, 100, 1
08:47:33.233, 62.5, 65, 60621, 18610, 136, 0, 100, 1
08:47:33.341, 62.5, 65, 60981, 18711, 136, 0, 100, 1
08:47:33.450, 62.5, 65, 60565, 18025, 136, 0, 100, 1
08:47:33.557, 62.5, 65, 58518, 17708, 136, 0, 100, 1
08:47:33.628, 62.5, 65, 58920, 17867, 136, 0, 100, 1
08:47:33.773, 62.5, 65, 58957, 17739, 136, 0, 100, 1
08:47:33.843, 62.5, 65, 58851, 17848, 136, 0, 100, 1
08:47:33.947, 79.05, 76, 59704, 18213, 136, 0, 100, 1
08:47:34.020, 79.05, 76, 60182, 18353, 136, 0, 100, 1
08:47:34.163, 79.05, 76, 60582, 18407, 136, 0, 100, 1
08:47:34.233, 79.05, 76, 59559, 17586, 136, 0, 100, 1
08:47:34.373, 79.05, 76, 58151, 17521, 136, 0, 100, 1
08:47:34.440, 79.05, 76, 58535, 17631, 136, 0, 100, 1
08:47:34.545, 79.05, 76, 58319, 17496, 136, 0, 100, 1
08:47:34.620, 79.05, 76, 58453, 17686, 136, 0, 100, 1
08:47:34.759, 79.05, 76, 59248, 17953, 136, 0, 100, 1
08:47:34.828, 79.05, 76, 59615, 18078, 136, 0, 100, 1
08:47:34.967, 79.05, 76, 60007, 18032, 136, 0, 100, 1
08:47:35.036, 79.05, 76, 58725, 17315, 136, 0, 100, 1
08:47:35.146, 79.05, 76, 58086, 17487, 136, 0, 100, 1
08:47:35.216, 79.05, 76, 58663, 17646, 136, 0, 100, 1
08:47:35.357, 79.05, 76, 58528, 17582, 136, 0, 100, 1
08:47:35.426, 79.05, 76, 58848, 17811, 150, 0, 97, 1
08:47:35.568, 79.05, 76, 59780, 18163, 150, 0, 97, 1
08:47:35.635, 79.05, 76, 60169, 18285, 150, 0, 97, 1
08:47:35.741, 83.33, 78, 60478, 18016, 150, 0, 97, 1
08:47:35.848, 83.33, 78, 58689, 17486, 150, 0, 97, 1
08:47:35.957, 83.33, 78, 58744, 17706, 150, 0, 97, 1
08:47:36.028, 83.33, 78, 59097, 17743, 150, 0, 97, 1
08:47:36.170, 83.33, 78, 58687, 17658, 150, 0, 97, 1
